gene,observed_transmissibility,predicted_transmissibility_oof,n_amplified_cases,predicted_percentile,observed_percentile,residual,predicted_rank
NCBP2,0.8047,0.6907,169,0.9451,0.9113,0.114,381
RFC5,0.8283,0.6907,99,0.945,0.9333,0.1376,382
TCERG1,0.9016,0.6905,122,0.9448,0.9786,0.2111,383
TRIP12,0.8375,0.6902,80,0.9447,0.941,0.1473,384
KAT7,0.45,0.6902,120,0.9446,0.6036,-0.2402,385
EIF3E,0.5906,0.6897,171,0.9444,0.7312,-0.0991,386
DCP2,0.4444,0.6897,90,0.9443,0.5969,-0.2452,387
EXOSC3,0.619,0.6897,63,0.9441,0.7577,-0.0706,388
ANKLE2,0.8621,0.6896,87,0.944,0.9568,0.1725,389
RPL3,0.5667,0.6891,60,0.9438,0.7105,-0.1225,390
WTAP,0.8478,0.6891,46,0.9437,0.9476,0.1588,391
RANGAP1,0.8689,0.6889,61,0.9435,0.9614,0.1799,392
DENND4A,0.2241,0.6887,58,0.9434,0.3382,-0.4645,393
CCNK,0.8193,0.6886,83,0.9433,0.9247,0.1307,394
ISY1,0.6694,0.6885,124,0.9431,0.8032,-0.0191,395
